trial,ns
0,219.0
1,47.0
2,48.0
3,48.0
4,47.0
5,48.0
6,48.0
7,48.0
8,48.0
9,46.0
10,46.0
11,46.0
12,46.0
13,49.0
14,48.0
15,48.0
16,48.0
17,47.0
18,48.0
19,47.0
20,47.0
21,48.0
22,47.0
23,48.0
24,46.0
25,47.0
26,46.0
27,47.0
28,46.0
29,48.0
30,47.0
31,48.0
32,47.0
33,46.0
34,47.0
35,48.0
36,48.0
37,47.0
38,47.0
39,48.0
40,46.0
41,47.0
42,49.0
43,47.0
44,47.0
45,46.0
46,45.0
47,48.0
48,47.0
49,48.0
50,47.0
51,46.0
52,49.0
53,48.0
54,48.0
55,47.0
56,47.0
57,48.0
58,48.0
59,48.0
60,47.0
61,46.0
62,48.0
63,48.0
64,49.0
65,45.0
66,47.0
67,48.0
68,47.0
69,45.0
70,49.0
71,48.0
72,48.0
73,46.0
74,46.0
75,48.0
76,48.0
77,46.0
78,46.0
79,48.0
80,48.0
81,46.0
82,46.0
83,47.0
84,47.0
85,46.0
86,46.0
87,48.0
88,48.0
89,45.0
90,47.0
91,48.0
92,47.0
93,47.0
94,48.0
95,48.0
96,47.0
97,47.0
98,48.0
99,47.0
100,49.0
101,47.0
102,46.0
103,45.0
104,47.0
105,48.0
106,46.0
107,48.0
108,47.0
109,46.0
110,48.0
111,48.0
112,47.0
113,48.0
114,48.0
115,45.0
116,47.0
117,48.0
118,45.0
119,47.0
120,48.0
121,46.0
122,48.0
123,48.0
124,46.0
125,48.0
126,49.0
127,48.0
128,48.0
129,46.0
130,47.0
131,47.0
132,46.0
133,47.0
134,48.0
135,46.0
136,47.0
137,48.0
138,48.0
139,48.0
140,46.0
141,48.0
142,49.0
143,47.0
144,47.0
145,45.0
146,48.0
147,48.0
148,47.0
149,48.0
150,46.0
151,48.0
152,48.0
153,48.0
154,47.0
155,45.0
156,48.0
157,46.0
158,48.0
159,48.0
160,47.0
161,47.0
162,46.0
163,48.0
164,48.0
165,48.0
166,47.0
167,46.0
168,48.0
169,47.0
170,48.0
171,48.0
172,48.0
173,49.0
174,48.0
175,48.0
176,47.0
177,48.0
178,48.0
179,48.0
180,45.0
181,48.0
182,48.0
183,48.0
184,47.0
185,47.0
186,49.0
187,48.0
188,46.0
189,48.0
190,47.0
191,46.0
192,48.0
193,47.0
194,46.0
195,47.0
196,47.0
197,46.0
198,48.0
199,48.0
200,47.0
201,49.0
202,47.0
203,46.0
204,48.0
205,47.0
206,45.0
207,49.0
208,47.0
209,46.0
210,48.0
211,47.0
212,46.0
213,48.0
214,48.0
215,48.0
216,46.0
217,48.0
218,48.0
219,47.0
220,46.0
221,47.0
222,47.0
223,46.0
224,48.0
225,48.0
226,49.0
227,48.0
228,47.0
229,48.0
230,45.0
231,47.0
232,48.0
233,47.0
234,46.0
235,48.0
236,47.0
237,49.0
238,47.0
239,48.0
240,47.0
241,48.0
242,46.0
243,47.0
244,48.0
245,47.0
246,47.0
247,46.0
248,48.0
249,48.0
250,49.0
251,45.0
252,47.0
253,48.0
254,46.0
255,47.0
256,45.0
257,48.0
258,47.0
259,48.0
260,47.0
261,46.0
262,47.0
263,47.0
264,47.0
265,48.0
266,46.0
267,47.0
268,47.0
269,48.0
270,48.0
271,46.0
272,48.0
273,48.0
274,47.0
275,47.0
276,48.0
277,46.0
278,46.0
279,48.0
280,47.0
281,47.0
282,48.0
283,47.0
284,46.0
285,47.0
286,47.0
287,48.0
288,48.0
289,48.0
290,47.0
291,46.0
292,47.0
293,47.0
294,49.0
295,46.0
296,48.0
297,47.0
298,47.0
299,46.0
300,47.0
301,46.0
302,48.0
303,48.0
304,48.0
305,48.0
306,48.0
307,47.0
308,46.0
309,46.0
310,46.0
311,46.0
312,46.0
313,47.0
314,48.0
315,47.0
316,48.0
317,47.0
318,47.0
319,46.0
320,47.0
321,47.0
322,48.0
323,47.0
324,48.0
325,46.0
326,46.0
327,47.0
328,46.0
329,48.0
330,47.0
331,47.0
332,48.0
333,46.0
334,48.0
335,48.0
336,48.0
337,47.0
338,47.0
339,46.0
340,46.0
341,48.0
342,47.0
343,47.0
344,49.0
345,47.0
346,46.0
347,47.0
348,48.0
349,48.0
350,48.0
351,46.0
352,46.0
353,48.0
354,48.0
355,48.0
356,47.0
357,48.0
358,47.0
359,48.0
360,47.0
361,47.0
362,49.0
363,48.0
364,47.0
365,49.0
366,46.0
367,49.0
368,48.0
369,48.0
370,49.0
371,47.0
372,48.0
373,48.0
374,48.0
375,46.0
376,48.0
377,48.0
378,48.0
379,47.0
380,49.0
381,47.0
382,48.0
383,46.0
384,48.0
385,48.0
386,46.0
387,47.0
388,47.0
389,48.0
390,47.0
391,49.0
392,48.0
393,48.0
394,45.0
395,49.0
396,48.0
397,46.0
398,47.0
399,47.0
400,47.0
401,47.0
402,48.0
403,48.0
404,49.0
405,48.0
406,47.0
407,48.0
408,46.0
409,46.0
410,49.0
411,46.0
412,48.0
413,48.0
414,45.0
415,48.0
416,49.0
417,46.0
418,48.0
419,48.0
420,46.0
421,48.0
422,48.0
423,46.0
424,48.0
425,48.0
426,46.0
427,48.0
428,48.0
429,47.0
430,48.0
431,47.0
432,46.0
433,47.0
434,47.0
435,48.0
436,47.0
437,46.0
438,46.0
439,46.0
440,46.0
441,47.0
442,48.0
443,47.0
444,47.0
445,46.0
446,47.0
447,46.0
448,47.0
449,48.0
450,46.0
451,47.0
452,46.0
453,47.0
454,47.0
455,46.0
456,47.0
457,48.0
458,46.0
459,48.0
460,46.0
461,45.0
462,48.0
463,47.0
464,46.0
465,48.0
466,47.0
467,47.0
468,46.0
469,47.0
470,48.0
471,46.0
472,46.0
473,48.0
474,47.0
475,46.0
476,47.0
477,46.0
478,46.0
479,48.0
480,46.0
481,45.0
482,47.0
483,46.0
484,47.0
485,46.0
486,47.0
487,47.0
488,46.0
489,46.0
490,47.0
491,47.0
492,45.0
493,47.0
494,49.0
495,47.0
496,47.0
497,46.0
498,46.0
499,46.0
500,46.0
501,47.0
502,47.0
503,46.0
504,48.0
505,46.0
506,46.0
507,46.0
508,46.0
509,47.0
510,46.0
511,48.0
512,47.0
513,46.0
514,46.0
515,49.0
516,46.0
517,48.0
518,46.0
519,49.0
520,47.0
521,46.0
522,46.0
523,48.0
524,46.0
525,46.0
526,46.0
527,49.0
528,47.0
529,47.0
530,46.0
531,48.0
532,46.0
533,47.0
534,45.0
535,48.0
536,47.0
537,47.0
538,46.0
539,45.0
540,47.0
541,46.0
542,46.0
543,47.0
544,46.0
545,47.0
546,45.0
547,46.0
548,46.0
549,46.0
550,48.0
551,46.0
552,47.0
553,47.0
554,46.0
555,46.0
556,46.0
557,46.0
558,47.0
559,46.0
560,46.0
561,47.0
562,46.0
563,47.0
564,46.0
565,46.0
566,47.0
567,47.0
568,46.0
569,46.0
570,47.0
571,46.0
572,46.0
573,45.0
574,48.0
575,47.0
576,46.0
577,46.0
578,46.0
579,47.0
580,46.0
581,46.0
582,47.0
583,45.0
584,46.0
585,47.0
586,46.0
587,46.0
588,47.0
589,47.0
590,46.0
591,47.0
592,47.0
593,46.0
594,46.0
595,46.0
596,46.0
597,46.0
598,47.0
599,46.0
600,48.0
601,47.0
602,45.0
603,47.0
604,46.0
605,46.0
606,47.0
607,47.0
608,46.0
609,46.0
610,47.0
611,47.0
612,46.0
613,47.0
614,46.0
615,46.0
616,48.0
617,46.0
618,46.0
619,46.0
620,48.0
621,47.0
622,45.0
623,46.0
624,46.0
625,48.0
626,46.0
627,46.0
628,47.0
629,46.0
630,46.0
631,49.0
632,46.0
633,46.0
634,47.0
635,46.0
636,47.0
637,46.0
638,46.0
639,46.0
640,46.0
641,49.0
642,46.0
643,46.0
644,46.0
645,46.0
646,46.0
647,46.0
648,46.0
649,47.0
650,46.0
