trial,ns
0,149.0
1,41.0
2,41.0
3,42.0
4,39.0
5,41.0
6,40.0
7,41.0
8,41.0
9,40.0
10,41.0
11,42.0
12,40.0
13,41.0
14,41.0
15,39.0
16,40.0
17,41.0
18,41.0
19,41.0
20,40.0
21,41.0
22,42.0
23,41.0
24,41.0
25,40.0
26,40.0
27,41.0
28,40.0
29,41.0
30,41.0
31,41.0
32,42.0
33,42.0
34,41.0
35,40.0
36,41.0
37,39.0
38,40.0
39,41.0
40,41.0
41,41.0
42,40.0
43,41.0
44,40.0
45,41.0
46,41.0
47,39.0
48,40.0
49,39.0
50,40.0
51,40.0
52,41.0
53,41.0
54,41.0
55,41.0
56,40.0
57,41.0
58,40.0
59,39.0
60,40.0
61,39.0
62,41.0
63,41.0
64,40.0
65,41.0
66,40.0
67,41.0
68,41.0
69,39.0
70,40.0
71,39.0
72,41.0
73,41.0
74,40.0
75,41.0
76,41.0
77,41.0
78,41.0
79,40.0
80,39.0
81,41.0
82,40.0
83,41.0
84,41.0
85,40.0
86,42.0
87,41.0
88,40.0
89,41.0
90,39.0
91,40.0
92,41.0
93,40.0
94,41.0
95,41.0
96,40.0
97,39.0
98,41.0
99,41.0
100,40.0
101,42.0
102,41.0
103,40.0
104,41.0
105,41.0
106,40.0
107,41.0
108,41.0
109,41.0
110,41.0
111,40.0
112,40.0
113,41.0
114,41.0
115,42.0
116,42.0
117,41.0
118,41.0
119,39.0
120,40.0
121,41.0
122,40.0
123,41.0
124,41.0
125,40.0
126,40.0
127,41.0
128,42.0
129,42.0
130,41.0
131,41.0
132,41.0
133,39.0
134,41.0
135,41.0
136,42.0
137,39.0
138,39.0
139,41.0
140,41.0
141,40.0
142,42.0
143,41.0
144,41.0
145,40.0
146,41.0
147,41.0
148,41.0
149,41.0
150,39.0
151,41.0
152,41.0
153,42.0
154,39.0
155,41.0
156,40.0
157,40.0
158,40.0
159,41.0
160,42.0
161,41.0
162,41.0
163,42.0
164,42.0
165,40.0
166,41.0
167,40.0
168,40.0
169,41.0
170,41.0
171,41.0
172,41.0
173,41.0
174,40.0
175,41.0
176,40.0
177,41.0
178,40.0
179,40.0
180,41.0
181,40.0
182,41.0
183,40.0
184,40.0
185,42.0
186,40.0
187,41.0
188,41.0
189,42.0
190,41.0
191,40.0
192,41.0
193,41.0
194,41.0
195,41.0
196,39.0
197,39.0
198,40.0
199,41.0
200,41.0
201,41.0
202,41.0
203,42.0
204,42.0
205,39.0
206,40.0
207,40.0
208,41.0
209,40.0
210,41.0
211,41.0
212,40.0
213,42.0
214,40.0
215,41.0
216,40.0
217,41.0
218,41.0
219,41.0
220,42.0
221,40.0
222,39.0
223,41.0
224,41.0
225,42.0
226,41.0
227,41.0
228,42.0
229,42.0
230,41.0
231,40.0
232,40.0
233,41.0
234,41.0
235,41.0
236,41.0
237,41.0
238,41.0
239,40.0
240,40.0
241,41.0
242,41.0
243,42.0
244,40.0
245,39.0
246,40.0
247,40.0
248,41.0
249,40.0
250,41.0
251,41.0
252,41.0
253,42.0
254,41.0
255,41.0
256,42.0
257,41.0
258,41.0
259,41.0
260,41.0
261,42.0
262,41.0
263,41.0
264,39.0
265,41.0
266,41.0
267,42.0
268,40.0
269,39.0
270,40.0
271,41.0
272,42.0
273,40.0
274,39.0
275,41.0
276,41.0
277,42.0
278,40.0
279,39.0
280,41.0
281,41.0
282,42.0
283,40.0
284,41.0
285,41.0
286,41.0
287,41.0
288,40.0
289,41.0
290,40.0
291,41.0
292,40.0
293,41.0
294,41.0
295,40.0
296,39.0
297,41.0
298,41.0
299,42.0
300,40.0
301,41.0
302,41.0
303,40.0
304,39.0
305,41.0
306,41.0
307,41.0
308,39.0
309,40.0
310,41.0
311,41.0
312,40.0
313,42.0
314,40.0
315,39.0
316,41.0
317,40.0
318,42.0
319,42.0
320,41.0
321,41.0
322,39.0
323,40.0
324,41.0
325,41.0
326,41.0
327,41.0
328,40.0
329,39.0
330,41.0
331,41.0
332,41.0
333,41.0
334,41.0
335,40.0
336,41.0
337,41.0
338,39.0
339,41.0
340,41.0
341,40.0
342,42.0
343,40.0
344,40.0
345,41.0
346,41.0
347,42.0
348,41.0
349,41.0
350,40.0
351,42.0
352,40.0
353,39.0
354,41.0
355,41.0
356,40.0
357,42.0
358,41.0
359,41.0
360,41.0
361,39.0
362,40.0
363,41.0
364,40.0
365,40.0
366,42.0
367,42.0
368,40.0
369,41.0
370,41.0
371,40.0
372,39.0
373,41.0
374,41.0
375,41.0
376,41.0
377,41.0
378,41.0
379,41.0
380,41.0
381,41.0
382,39.0
383,41.0
384,41.0
385,41.0
386,41.0
387,41.0
388,41.0
389,40.0
390,40.0
391,41.0
392,41.0
393,41.0
394,40.0
395,41.0
396,39.0
397,41.0
398,41.0
399,42.0
400,42.0
401,40.0
402,41.0
403,41.0
404,40.0
405,41.0
406,40.0
407,41.0
408,40.0
409,40.0
410,42.0
411,42.0
412,41.0
413,40.0
414,41.0
415,41.0
416,40.0
417,41.0
418,40.0
419,41.0
420,42.0
421,42.0
422,40.0
423,41.0
424,41.0
425,40.0
426,40.0
427,41.0
428,41.0
429,42.0
430,41.0
431,41.0
432,42.0
433,42.0
434,41.0
435,42.0
436,42.0
437,40.0
438,41.0
439,43.0
440,40.0
441,41.0
442,42.0
443,41.0
444,42.0
445,41.0
446,42.0
447,41.0
448,40.0
449,42.0
450,43.0
451,40.0
452,41.0
453,42.0
454,41.0
455,41.0
456,41.0
457,42.0
458,41.0
459,40.0
460,41.0
461,43.0
462,40.0
463,41.0
464,41.0
465,42.0
466,42.0
467,41.0
468,42.0
469,43.0
470,40.0
471,42.0
472,41.0
473,42.0
474,42.0
475,41.0
476,40.0
477,41.0
478,43.0
479,40.0
480,41.0
481,41.0
482,42.0
483,42.0
484,41.0
485,40.0
486,41.0
487,42.0
488,41.0
489,42.0
490,41.0
491,40.0
492,42.0
493,42.0
494,41.0
495,41.0
496,40.0
497,43.0
498,42.0
499,41.0
500,40.0
501,41.0
502,41.0
503,42.0
504,43.0
505,41.0
506,40.0
507,41.0
508,42.0
509,42.0
510,42.0
511,41.0
512,41.0
513,41.0
514,41.0
515,42.0
516,43.0
517,41.0
518,41.0
519,41.0
520,42.0
521,42.0
522,41.0
523,42.0
524,41.0
525,42.0
526,40.0
527,41.0
528,41.0
529,41.0
530,42.0
531,43.0
532,43.0
533,41.0
534,41.0
535,41.0
536,40.0
537,41.0
538,43.0
539,41.0
540,42.0
541,42.0
542,43.0
543,41.0
544,41.0
545,41.0
546,41.0
547,41.0
548,41.0
549,42.0
550,41.0
551,42.0
552,43.0
553,42.0
554,41.0
555,41.0
556,41.0
557,41.0
558,41.0
559,42.0
560,43.0
561,42.0
562,41.0
563,42.0
564,40.0
565,41.0
566,41.0
567,41.0
568,42.0
569,42.0
570,43.0
571,40.0
572,41.0
573,41.0
574,42.0
575,41.0
576,42.0
577,40.0
578,41.0
579,41.0
580,41.0
581,42.0
582,43.0
583,42.0
584,41.0
585,41.0
586,41.0
587,42.0
588,43.0
589,42.0
590,41.0
591,42.0
592,41.0
593,42.0
594,42.0
595,42.0
596,41.0
597,41.0
598,42.0
599,43.0
600,42.0
601,41.0
602,40.0
603,41.0
604,42.0
605,41.0
606,42.0
607,41.0
608,40.0
609,42.0
610,42.0
611,41.0
612,41.0
613,42.0
614,43.0
615,41.0
616,41.0
617,41.0
618,43.0
619,40.0
620,41.0
621,41.0
622,42.0
623,43.0
624,41.0
625,41.0
626,42.0
627,41.0
628,41.0
629,41.0
630,42.0
631,41.0
632,41.0
633,40.0
634,43.0
635,41.0
636,40.0
637,41.0
638,42.0
639,41.0
640,42.0
641,40.0
642,41.0
643,41.0
644,40.0
645,43.0
646,41.0
647,40.0
648,41.0
649,42.0
650,41.0
651,42.0
652,42.0
653,41.0
654,41.0
655,41.0
656,43.0
657,41.0
658,40.0
659,43.0
660,40.0
661,41.0
662,42.0
663,41.0
664,42.0
665,42.0
666,41.0
667,41.0
668,41.0
669,41.0
670,41.0
671,42.0
672,41.0
673,40.0
674,42.0
675,43.0
676,40.0
677,41.0
678,40.0
679,42.0
680,42.0
681,41.0
682,42.0
683,43.0
684,41.0
685,41.0
686,42.0
687,41.0
688,41.0
689,41.0
690,41.0
691,42.0
692,41.0
693,41.0
694,42.0
695,41.0
696,41.0
697,42.0
698,41.0
699,42.0
700,41.0
701,42.0
702,42.0
703,42.0
704,42.0
705,41.0
706,41.0
707,41.0
708,42.0
709,41.0
710,42.0
711,41.0
712,42.0
713,41.0
714,42.0
715,41.0
716,41.0
717,41.0
718,41.0
719,42.0
720,41.0
721,41.0
722,41.0
723,41.0
724,41.0
725,41.0
726,42.0
727,41.0
728,41.0
729,41.0
730,41.0
731,41.0
732,40.0
733,41.0
734,40.0
735,41.0
736,42.0
737,41.0
738,41.0
739,40.0
740,42.0
741,42.0
742,41.0
743,42.0
744,42.0
745,41.0
746,41.0
747,42.0
748,42.0
749,42.0
750,41.0
751,41.0
752,42.0
753,41.0
754,40.0
755,42.0
756,41.0
757,41.0
758,42.0
759,40.0
760,41.0
761,42.0
762,41.0
763,42.0
764,41.0
765,41.0
766,41.0
767,42.0
768,41.0
769,42.0
770,40.0
771,41.0
